type,name,confidence,page_number,line_number
topic,celery,0.08904109589041095,1,0
topic,tasks,0.0547945205479452,1,0
topic,q,0.0410958904109589,1,0
topic,used,0.03424657534246575,1,0
topic,redis,0.0273972602739726,1,0
topic,tasks,0.09090909090909091,2,0
topic,q,0.05785123966942149,2,0
topic,task,0.03305785123966942,2,0
topic,yes,0.024793388429752067,2,0
topic,group,0.024793388429752067,2,0
topic,q,0.0660377358490566,3,0
topic,celery,0.05660377358490566,3,0
topic,concurrency,0.04716981132075472,3,0
topic,use,0.02830188679245283,3,0
topic,task,0.02830188679245283,3,0
